Category	Score	Query_File_Name	ClassificationGroup
iPS	6.068467617034912	iPS-Episomal-Edom-iPS-9_P30.txt	10
ES	5.286276340484619	iPS-Episomal-Edom-iPS-9_P30.txt	10
Somatic	-12.149023056030273	iPS-Episomal-Edom-iPS-9_P30.txt	10
EC	1.8040778636932373	iPS-Lenti-ChondiPS2_P9.txt	10
iPS	6.35930871963501	iPS-Lenti-ChondiPS2_P9.txt	10
ES	3.214837074279785	iPS-Lenti-ChondiPS2_P9.txt	10
Somatic	-10.064408302307129	iPS-Lenti-ChondiPS2_P9.txt	10
EC	2.17767333984375	iPS-Lenti-ChondiPS3_P9.txt	10
iPS	6.385980129241943	iPS-Lenti-ChondiPS3_P9.txt	10
ES	3.944415330886841	iPS-Lenti-ChondiPS3_P9.txt	10
Somatic	-11.192917823791504	iPS-Lenti-ChondiPS3_P9.txt	10
EC	1.4234706163406372	iPS-Retro-201B7-iPS_P31.txt	10
iPS	6.478342056274414	iPS-Retro-201B7-iPS_P31.txt	10
ES	3.708522319793701	iPS-Retro-201B7-iPS_P31.txt	10
Somatic	-10.312248229980469	iPS-Retro-201B7-iPS_P31.txt	10
EC	2.215907573699951	iPS-Retro-AM-iPS-13_P5.txt	10
iPS	7.209845066070557	iPS-Retro-AM-iPS-13_P5.txt	10
ES	2.9066567420959473	iPS-Retro-AM-iPS-13_P5.txt	10
Somatic	-11.013007164001465	iPS-Retro-AM-iPS-13_P5.txt	10
EC	1.683435082435608	iPS-Retro-AM-iPS-20_P10.txt	10
iPS	7.017347812652588	iPS-Retro-AM-iPS-20_P10.txt	10
ES	4.266439914703369	iPS-Retro-AM-iPS-20_P10.txt	10
Somatic	-11.639420509338379	iPS-Retro-AM-iPS-20_P10.txt	10
EC	1.8744012117385864	iPS-Retro-AM-iPS-3_P21.txt	10
iPS	7.597004413604736	iPS-Retro-AM-iPS-3_P21.txt	10
ES	3.34385347366333	iPS-Retro-AM-iPS-3_P21.txt	10
Somatic	-11.49256420135498	iPS-Retro-AM-iPS-3_P21.txt	10
EC	2.2352733612060547	iPS-Retro-AM-iPS-8_P29.txt	10
iPS	7.37331485748291	iPS-Retro-AM-iPS-8_P29.txt	10
ES	2.955540418624878	iPS-Retro-AM-iPS-8_P29.txt	10
Somatic	-11.24545669555664	iPS-Retro-AM-iPS-8_P29.txt	10
EC	1.9189997911453247	iPS-Retro-ChondiPS1_P9.txt	10
iPS	7.165853023529053	iPS-Retro-ChondiPS1_P9.txt	10
ES	3.3617148399353027	iPS-Retro-ChondiPS1_P9.txt	10
Somatic	-11.131152153015137	iPS-Retro-ChondiPS1_P9.txt	10
EC	1.8819972276687622	iPS-Retro-Edom-iPS-1_P23.txt	10
iPS	6.07306432723999	iPS-Retro-Edom-iPS-1_P23.txt	10
ES	5.072336673736572	iPS-Retro-Edom-iPS-1_P23.txt	10
Somatic	-11.663041114807129	iPS-Retro-Edom-iPS-1_P23.txt	10
EC	2.174899101257324	iPS-Retro-Edom-iPS-2_P31.txt	10
iPS	6.480899333953857	iPS-Retro-Edom-iPS-2_P31.txt	10
